Timestamp,AccX_G,AccY_G,AccZ_G,GyroX_DPS,GyroY_DPS,GyroZ_DPS,Lat,Lon,Altitude,Sats,PlantStat
546,0.2239,-0.0583,1.0308,-1.57,2.82,-0.17,0.0,0.0,0.0,0,0
646,0.2271,-0.0559,1.0308,-1.63,2.84,-0.23,0.0,0.0,0.0,0,0
746,0.2231,-0.0669,1.0310,-1.73,2.67,-0.21,0.0,0.0,0.0,0,0
846,0.2310,-0.0581,1.0295,-1.85,2.82,0.05,0.0,0.0,0.0,0,0
946,0.2224,-0.0593,1.0320,-1.72,2.70,0.01,0.0,0.0,0.0,0,0
1046,0.2273,-0.0566,1.0308,-1.66,2.78,-0.08,0.0,0.0,0.0,0,0
1146,0.2280,-0.0632,1.0327,-1.66,2.76,-0.24,0.0,0.0,0.0,0,0
1246,0.2275,-0.0576,1.0308,-1.73,2.85,-0.16,0.0,0.0,0.0,0,0
1346,0.2244,-0.0632,1.0312,-1.63,2.78,-0.14,0.0,0.0,0.0,0,0
1446,0.2283,-0.0557,1.0305,-1.74,2.65,-0.04,0.0,0.0,0.0,0,0
1546,0.2256,-0.0630,1.0334,-1.59,2.69,0.07,0.0,0.0,0.0,0,0
1646,0.2244,-0.0598,1.0298,-1.75,2.90,-0.19,0.0,0.0,0.0,0,0
1746,0.2249,-0.0603,1.0332,-1.65,2.72,0.02,0.0,0.0,0.0,0,0
125,0.2246,-0.0623,1.0317,-1.61,2.59,0.05,0.0,0.0,0.0,0,0
225,0.2261,-0.0635,1.0305,-1.73,2.63,0.01,0.0,0.0,0.0,0,0
325,0.2256,-0.0603,1.0315,-1.85,2.59,-0.21,0.0,0.0,0.0,0,0
425,0.2263,-0.0605,1.0344,-1.69,2.59,-0.05,0.0,0.0,0.0,0,0
525,0.2253,-0.0598,1.0310,-1.74,2.70,0.04,0.0,0.0,0.0,0,0
633,0.2251,-0.0605,1.0288,-1.75,2.74,0.02,0.0,0.0,0.0,0,0
733,0.2217,-0.0635,1.0291,-1.60,2.71,-0.08,0.0,0.0,0.0,0,0
833,0.2268,-0.0608,1.0298,-1.78,2.73,0.09,0.0,0.0,0.0,0,0
933,0.2236,-0.0583,1.0308,-1.71,2.72,0.09,0.0,0.0,0.0,0,0
1033,0.2249,-0.0623,1.0298,-1.58,2.58,-0.18,0.0,0.0,0.0,0,0
1133,0.2275,-0.0610,1.0337,-1.73,2.73,0.11,0.0,0.0,0.0,0,0
1233,0.2292,-0.0601,1.0352,-1.58,2.86,0.05,0.0,0.0,0.0,0,0
1333,0.2229,-0.0576,1.0137,-1.81,2.63,-0.05,0.0,0.0,0.0,0,0
1433,0.2300,-0.0601,1.0337,-1.74,2.46,-0.02,0.0,0.0,0.0,0,0
1533,0.2229,-0.0632,1.0322,-1.73,2.52,0.06,0.0,0.0,0.0,0,0
1633,0.2266,-0.0625,1.0317,-1.69,2.74,0.01,0.0,0.0,0.0,0,0
1733,0.2253,-0.0615,1.0349,-1.61,2.83,-0.04,0.0,0.0,0.0,0,0
1833,0.2266,-0.0640,1.0410,-1.60,2.82,-0.02,0.0,0.0,0.0,0,0
1933,0.2271,-0.0586,1.0259,-1.72,2.56,0.00,0.0,0.0,0.0,0,0
2033,0.2263,-0.0574,1.0344,-1.69,2.78,0.04,0.0,0.0,0.0,0,0
2134,0.2227,-0.0605,1.0374,-1.70,2.65,0.12,0.0,0.0,0.0,0,0
2234,0.2231,-0.0588,1.0310,-1.68,2.68,0.00,0.0,0.0,0.0,0,0
2334,0.2239,-0.0603,1.0325,-1.69,2.81,0.05,0.0,0.0,0.0,0,0
2434,0.2234,-0.0588,1.0327,-1.64,2.73,-0.10,0.0,0.0,0.0,0,0
2534,0.2271,-0.0620,1.0293,-1.98,2.15,-0.01,0.0,0.0,0.0,0,0
2634,0.2324,-0.0520,1.0271,-1.73,2.68,-0.02,0.0,0.0,0.0,0,0
2734,0.2227,-0.0662,1.0352,-1.82,2.73,0.02,0.0,0.0,0.0,0,0
2834,0.2283,-0.0581,1.0308,-1.65,2.69,0.08,0.0,0.0,0.0,0,0
2934,0.2280,-0.0642,1.0344,-1.76,2.61,-0.06,0.0,0.0,0.0,0,0
3034,0.2222,-0.0554,1.0264,-1.82,2.67,-0.16,0.0,0.0,0.0,0,0
3134,0.2280,-0.0647,1.0286,-1.56,2.60,0.01,0.0,0.0,0.0,0,0
3234,0.2263,-0.0544,1.0291,-1.72,2.92,-0.18,0.0,0.0,0.0,0,0
3334,0.2236,-0.0601,1.0344,-1.76,2.66,-0.02,0.0,0.0,0.0,0,0
3434,0.2261,-0.0596,1.0330,-1.53,2.69,-0.03,0.0,0.0,0.0,0,0
3534,0.2192,-0.0662,1.0325,-1.68,2.55,0.12,0.0,0.0,0.0,0,0
3634,0.2285,-0.0557,1.0330,-1.55,2.62,-0.01,0.0,0.0,0.0,0,0
3734,0.2231,-0.0603,1.0337,-1.62,2.76,0.04,0.0,0.0,0.0,0,0
3834,0.2148,-0.0615,1.0220,-1.65,2.16,-0.12,0.0,0.0,0.0,0,0
3934,0.2297,-0.0637,1.0315,-1.70,2.58,-0.08,0.0,0.0,0.0,0,0
4034,0.2202,-0.0566,1.0312,-1.71,2.66,0.02,0.0,0.0,0.0,0,0
4134,0.2332,-0.0610,1.0315,-1.71,2.65,-0.12,0.0,0.0,0.0,0,0
4234,0.2214,-0.0571,1.0352,-1.66,2.78,0.02,0.0,0.0,0.0,0,0
4334,0.2324,-0.0613,1.0339,-1.68,2.74,0.08,0.0,0.0,0.0,0,0
4434,0.2251,-0.0605,1.0322,-1.73,2.64,-0.03,0.0,0.0,0.0,0,0
4534,0.2256,-0.0623,1.0273,-1.79,2.91,0.18,0.0,0.0,0.0,0,0
4634,0.2227,-0.0615,1.0325,-1.69,2.73,0.00,0.0,0.0,0.0,0,0
4734,0.2314,-0.0605,1.0300,-1.69,2.80,-0.01,0.0,0.0,0.0,0,0
4834,0.2200,-0.0576,1.0293,-1.76,2.73,0.04,0.0,0.0,0.0,0,0
4934,0.2273,-0.0603,1.0320,-1.67,2.73,0.11,0.0,0.0,0.0,0,0
5035,0.2246,-0.0627,1.0349,-1.85,2.63,0.04,0.0,0.0,0.0,0,0
5135,0.2249,-0.0618,1.0320,-1.67,2.72,-0.02,0.0,0.0,0.0,0,0
5235,0.2234,-0.0588,1.0315,-1.78,2.70,-0.11,0.0,0.0,0.0,0,0
5335,0.2263,-0.0613,1.0312,-1.72,2.66,0.11,0.0,0.0,0.0,0,0
5435,0.2222,-0.0586,1.0327,-1.62,3.11,-0.01,0.0,0.0,0.0,0,0
5535,0.2236,-0.0635,1.0303,-1.80,2.70,-0.08,0.0,0.0,0.0,0,0
5635,0.2246,-0.0613,1.0330,-1.78,2.65,0.16,0.0,0.0,0.0,0,0
5735,0.2319,-0.0613,1.0518,-1.56,2.98,-0.02,0.0,0.0,0.0,0,0
5835,0.2214,-0.0591,1.0295,-1.72,2.60,0.27,0.0,0.0,0.0,0,0
5935,0.2327,-0.0593,1.0305,-1.78,2.70,-0.08,0.0,0.0,0.0,0,0
6035,0.2212,-0.0640,1.0325,-1.84,2.62,-0.15,0.0,0.0,0.0,0,0
6135,0.2336,-0.0579,1.0312,-1.65,2.78,-0.06,0.0,0.0,0.0,0,0
6235,0.2214,-0.0642,1.0332,-1.66,2.78,-0.03,0.0,0.0,0.0,0,0
6335,0.2280,-0.0591,1.0332,-1.84,2.90,-0.02,0.0,0.0,0.0,0,0
6435,0.2239,-0.0605,1.0327,-1.79,2.66,-0.04,0.0,0.0,0.0,0,0
6535,0.2258,-0.0601,1.0342,-1.66,2.55,-0.11,0.0,0.0,0.0,0,0
6635,0.2244,-0.0642,1.0298,-1.77,2.82,-0.06,0.0,0.0,0.0,0,0
6735,0.2251,-0.0603,1.0286,-1.66,2.67,-0.02,0.0,0.0,0.0,0,0
6835,0.2292,-0.0610,1.0334,-1.80,2.73,-0.05,0.0,0.0,0.0,0,0
6935,0.2251,-0.0603,1.0305,-1.69,2.78,-0.09,0.0,0.0,0.0,0,0
7035,0.2246,-0.0642,1.0337,-1.60,2.74,-0.15,0.0,0.0,0.0,0,0
7135,0.2224,-0.0603,1.0337,-1.76,2.59,-0.02,0.0,0.0,0.0,0,0
7235,0.2292,-0.0635,1.0295,-1.89,2.70,-0.14,0.0,0.0,0.0,0,0
7335,0.2246,-0.0586,1.0322,-1.69,2.74,0.01,0.0,0.0,0.0,0,0
